datetime,timestamp,latitude,longitude,accuracy,location,magNorth,trueNorth,accelX,accelY,accelZ,pitch,roll,yaw,illuminance,noise,battery
2015-07-14 19:23:13,130813897938031476,42.3624922505731,-71.0854825433466,66,MAIN STREET,285.592864990234,252.294876098633,0.1153021,-0.3589853,-0.9357762,20.32797,6.612989,107.7051,1007.93,0,
2015-07-14 19:26:09,130813899691009975,42.36295249,-71.08510021,17,BROADWAY,343.900512695313,310.6025390625,-0.03719062,-1.359963,0.843305,119.7996,5.868915,42.64197,0,0,75
2015-07-14 19:26:53,130813900134706914,42.36273849,-71.08477865,11,ARTERIAL,249.390640258789,216.092651367188,0.02146041,-0.9024849,0.4835787,118.1329,-2.687413,146.9541,0,0,75
2015-07-14 19:28:09,130813900890398916,42.3626589775085,-71.0845685005188,5,BROADWAY,242.793334960938,209.495346069336,-0.3773666,-1.711869,0.1981437,115.2633,1.790486,152.3685,105.84,0,75
2015-07-14 19:33:44,130813904246712133,42.36458786,-71.08930951,16,GALILEO GALILEI WAY,299.485534667969,266.187561035156,-0.02937048,-1.524186,0.503129,123.2132,5.701316,87.10754,102.41,0,74
2015-07-14 19:34:09,130813904498712188,42.3649281263351,-71.0898900032043,8,BROADWAY,137.762603759766,104.46460723877,0.06056109,-0.3511652,0.2685249,115.1868,3.824919,251.763,61.495,0,74
2015-07-14 19:36:24,130813905849526786,42.36530702,-71.0921022,12,PORTLAND STREET,137.939147949219,104.641159057617,-0.06065103,-1.391243,0.276345,107.6498,16.33079,241.285,47.775,0,72
2015-07-14 19:37:24,130813906444105243,42.3649656772614,-71.0927706956863,4,HARVARD STREET,301.810546875,268.512573242188,0.2756149,-0.9845963,0.8237546,118.3906,0.4310669,90.99741,61.495,0,72
2015-07-14 19:38:39,130813907199800408,42.3655557632446,-71.0941600799561,6,MOORE STREET,300.318054199219,267.020050048828,0.09966178,-1.410794,0.6087009,123.9809,5.425991,86.44535,74.97,0,72
2015-07-14 19:38:45,130813907250302714,42.3656094074249,-71.0942566394806,5,HARVARD STREET,304.036865234375,270.738891601563,0.2013236,-1.137089,0.5539599,124.2473,10.18615,79.29055,85.26,0,72
2015-07-14 19:40:20,130813908208217308,42.3662263154984,-71.095774769783,5,WINDSOR STREET,300.6806640625,267.382690429688,0.3538162,-0.8555641,0.5774203,116.0932,-5.60807,98.85704,44.345,0,72
2015-07-14 19:40:25,130813908258638159,42.3662799596787,-71.0959035158157,5,HARVARD STREET,312.585815429688,279.287841796875,0.02146041,-0.4059061,0.272435,114.5064,5.772664,74.37244,58.065,0,72
2015-07-14 19:42:15,130813909356624204,42.3670524358749,-71.0978293418884,4,COLUMBIA STREET,317.631713867188,284.333740234375,0.2795249,-1.148819,0.9997077,120.374,-2.615266,78.69688,44.345,0,72
2015-07-14 19:42:20,130813909406928645,42.367068529129,-71.097925901413,4,HARVARD STREET,272.45849609375,239.160491943359,0.1778632,-1.121449,1.042718,121.6777,-1.535064,122.6431,30.625,0,72
2015-07-14 19:43:05,130813909850477599,42.3672991991043,-71.0986715555191,6,ELM STREET,268.118835449219,234.820861816406,-0.09584164,-0.3042444,0.1825034,114.0276,10.72163,113.4673,6.615,0,72
2015-07-14 19:43:10,130813909900810190,42.3672723770142,-71.0987949371338,10,HARVARD STREET,257.070251464844,223.772262573242,0.01755034,-0.851654,1.042718,112.9571,1.575363,134.517,6.615,0,72
2015-07-14 19:43:55,130813910354171404,42.3676961660385,-71.0997229814529,7,NORFOLK STREET,274.491638183594,241.193634033203,0.1192121,-1.20747,0.9762473,113.6947,11.4477,106.3364,27.195,0,72
