datetime,timestamp,latitude,longitude,accuracy,location,magNorth,trueNorth,accelX,accelY,accelZ,pitch,roll,yaw,illuminance,noise,battery
2015-07-14 13:36:27,130813689872552456,42.3747879266739,-71.1094218492508,4,CAMBRIDGE STREET,87.4737930297852,54.202766418457,1.096729,0.1336833,-0.2593343,-7.295994,64.37949,305.7972,2419.375,0,89
2015-07-14 13:36:28,130813689882636579,42.3747879266739,-71.1094218492508,4,CAMBRIDGE STREET,278.169189453125,244.898147583008,1.171021,0.1923343,-0.5173988,-7.32397,60.60831,115.1019,2897.86,0,89
2015-07-14 13:36:29,130813689892753401,42.3747879266739,-71.1094218492508,4,CAMBRIDGE STREET,142.935638427734,109.664604187012,1.511196,0.2509854,-0.4900284,-9.12725,65.55559,267.3319,1609.405,0,89
2015-07-14 13:36:30,130813689902758809,42.3747932910919,-71.1093574762344,3,CAMBRIDGE STREET,39.1145133972168,5.8434853553772,1.448635,0.06330206,-0.6034203,-10.76701,65.25639,347.8148,967.015,0,89
2015-07-14 13:36:31,130813689912871344,42.3747932910919,-71.1093574762344,3,CAMBRIDGE STREET,42.272834777832,9.00180721282959,1.178841,-0.1908524,-0.5877801,-4.682177,64.22559,350.9982,1647.135,0,89
2015-07-14 13:36:32,130813689922873061,42.3747825622559,-71.1093252897263,4,CAMBRIDGE STREET,64.9585571289063,31.6875286102295,1.077179,-0.284694,-0.8614849,-10.76421,63.61852,321.0337,1794.135,0,89
2015-07-14 13:36:33,130813689933015939,42.3747825622559,-71.1093252897263,4,CAMBRIDGE STREET,61.9731369018555,28.7021102905273,1.511196,-0.03444966,-1.295502,-5.327192,58.79569,331.2979,4000,0,89
2015-07-14 13:36:34,130813689943097018,42.3747771978378,-71.1092877388,4,CAMBRIDGE STREET,55.7870025634766,22.5159740447998,1.022438,0.1845142,-1.326783,-4.767144,59.88137,337.484,4000,0,89
2015-07-14 13:36:35,130813689953237607,42.3747771978378,-71.1092877388,4,CAMBRIDGE STREET,32.5637817382813,359.292755126953,0.627521,0.2509854,-1.385434,-3.107777,53.22158,17.38511,4000,0,89
2015-07-14 13:36:36,130813689963350191,42.3747503757477,-71.109271645546,4,CAMBRIDGE STREET,254.129959106445,220.858932495117,0.9559668,0.1415034,-0.7363627,-2.282226,49.73364,139.1411,2415.945,0,89
2015-07-14 13:36:37,130813689973497231,42.3747503757477,-71.109271645546,4,CAMBRIDGE STREET,1.6270751953125,328.356048583984,1.13583,0.1375933,-0.7324526,-4.167973,52.24677,34.33479,1254.155,0,89
2015-07-14 13:36:38,130813689983514284,42.3747503757477,-71.109271645546,4,CAMBRIDGE STREET,322.232269287109,288.961242675781,0.8034741,0.03984164,-0.4939384,-4.670196,51.71224,71.03876,2279.235,0,89
2015-07-14 13:36:39,130813689993638050,42.3747503757477,-71.109271645546,4,CAMBRIDGE STREET,24.7437438964844,351.472717285156,0.7252728,0.09849267,-0.4509277,-4.806499,52.15997,8.527269,1773.555,0,89
2015-07-14 13:36:40,130813690003780798,42.3747128248215,-71.1092126369476,4,CAMBRIDGE STREET,351.891693115234,318.620666503906,0.7330929,0.06330206,-0.3258055,-8.186077,54.43542,47.08947,1835.05,0,89
2015-07-14 13:36:41,130813690013868096,42.3747128248215,-71.1092126369476,4,CAMBRIDGE STREET,184.927352905273,151.656326293945,1.014618,-0.07746041,-0.5916901,-4.777335,54.65915,208.3437,1978.62,0,89
2015-07-14 13:36:42,130813690023884521,42.3747128248215,-71.1092126369476,4,CAMBRIDGE STREET,66.3965148925781,33.1254844665527,0.6900821,-0.01880939,-0.4782982,-2.573096,54.96418,326.8745,1585.64,0,89
2015-07-14 13:36:43,130813690033936083,42.3747128248215,-71.1092126369476,4,CAMBRIDGE STREET,22.476318359375,349.205291748047,0.2717048,0.08676246,-0.2006833,-2.301172,53.92884,11.41252,1216.425,0,89
2015-07-14 13:36:44,130813690043986905,42.3747128248215,-71.1092126369476,4,CAMBRIDGE STREET,341.093902587891,307.822875976563,0.224784,0.06330206,-0.1498524,-2.802304,53.44316,52.17712,3301.13,0,89
2015-07-14 13:36:45,130813690054125707,42.3747128248215,-71.1092126369476,4,CAMBRIDGE STREET,2.140869140625,328.869842529297,0.08402151,0.02420137,-0.0872913,-3.092942,54.07581,31.13017,4000,0,89
2015-07-14 13:36:46,130813690064137548,42.3746860027313,-71.1090892553329,7,CAMBRIDGE STREET,354.940246582031,321.669219970703,0.1622229,-0.003169112,-0.05992082,-2.851481,55.39685,38.33077,4000,0,89
2015-07-14 13:36:47,130813690074260166,42.3746752738953,-71.1090570688248,6,CAMBRIDGE STREET,347.773864746094,314.502838134766,0.3108055,0.07112218,-0.1029316,-3.618989,55.06616,45.49716,4000,0,89
2015-07-14 13:36:48,130813690084271961,42.3746752738953,-71.1090570688248,6,CAMBRIDGE STREET,343.128448486328,309.857421875,0.4828485,-0.1400215,-0.2319638,-4.710194,59.08904,49.12603,4000,0,89
2015-07-14 13:36:49,130813690094374455,42.3746752738953,-71.1090570688248,6,CAMBRIDGE STREET,337.111175537109,303.840148925781,0.967697,-0.2651437,-0.3062551,-2.518359,58.83704,56.15987,3772.755,0,89
2015-07-14 13:36:50,130813690104461421,42.3746752738953,-71.1090570688248,6,CAMBRIDGE STREET,341.835113525391,308.564086914063,0.9481466,-0.08919062,-0.3140753,-2.4925,58.01437,51.43593,2354.45,0,89
2015-07-14 13:36:51,130813690114565081,42.3746591806412,-71.1089766025543,4,CAMBRIDGE STREET,36.6815414428711,3.41051530838013,1.421265,-0.5974995,-0.5682297,2.582522,57.728,356.5895,2299.815,0,89
2015-07-14 13:36:52,130813690124597058,42.3746591806412,-71.1089766025543,4,CAMBRIDGE STREET,15.1287536621094,341.857727050781,1.491646,-0.4019961,-0.525219,4.282419,60.80508,18.14228,2604.105,0,89
2015-07-14 13:36:53,130813690134601957,42.37465542,-71.10893682,4,CAMBRIDGE STREET,6.13363647460938,332.862609863281,1.429085,-0.07746041,-0.5760499,5.191599,61.59757,27.13737,4000,0,89
2015-07-14 13:36:54,130813690144668347,42.37465542,-71.10893682,4,CAMBRIDGE STREET,357.062774658203,323.791748046875,1.546387,0.05548191,-0.7129022,1.85262,61.8702,36.20824,4000,0,89
2015-07-14 13:36:55,130813690154823673,42.37465542,-71.10893682,4,CAMBRIDGE STREET,3.82315063476563,330.552124023438,1.13974,0.2509854,-0.5956002,3.286741,62.6291,29.44788,4000,0,89
2015-07-14 13:36:56,130813690164947781,42.37465542,-71.10893682,4,CAMBRIDGE STREET,354.806365966797,321.535339355469,1.190571,0.51687,-1.279862,-0.9675645,61.40026,38.46466,4000,0,89
2015-07-14 13:36:57,130813690175049030,42.374632358551,-71.1088693141937,4,CAMBRIDGE STREET,356.348876953125,323.077850341797,1.315693,0.4777693,-1.295502,-1.478872,59.3574,36.92213,4000,0,89
2015-07-14 13:36:58,130813690185097167,42.374632358551,-71.1088693141937,4,CAMBRIDGE STREET,351.235290527344,317.964263916016,1.331333,0.51687,-0.6542512,-6.775247,58.22234,42.03572,2597.245,0,89
2015-07-14 13:36:59,130813690195133676,42.374632358551,-71.1088693141937,4,CAMBRIDGE STREET,346.11376953125,312.842742919922,0.4867586,0.1806041,-1.13519,-4.436658,56.44258,47.15725,2723.665,0,89
2015-07-14 13:37:00,130813690205132985,42.374632358551,-71.1088693141937,4,CAMBRIDGE STREET,340.488403320313,307.217376708984,0.5375895,-0.07746041,-0.9944272,-6.773594,54.21338,52.78263,2597.245,0,89
2015-07-14 13:37:01,130813690215134846,42.3746109008789,-71.1087834835052,4,CAMBRIDGE STREET,349.680023193359,316.408996582031,0.4241975,-0.1634819,-0.8028339,-4.619366,56.90516,43.591,2532.32,0,89
2015-07-14 13:37:02,130813690225156713,42.3746109008789,-71.1087834835052,4,CAMBRIDGE STREET,341.782775878906,308.511749267578,0.8386647,0.02420137,-0.5682297,-6.467083,53.90152,51.48826,2494.59,0,89
2015-07-14 13:37:03,130813690235198764,42.3746001720428,-71.1087512969971,4,CAMBRIDGE STREET,339.794158935547,306.523132324219,1.13583,0.0007409565,-0.5330391,-4.593821,50.74927,53.47686,4000,0,89
2015-07-14 13:37:04,130813690245342136,42.3746001720428,-71.1087512969971,4,CAMBRIDGE STREET,344.429595947266,311.158569335938,0.8230245,0.03984164,-0.4079169,-4.763319,55.11958,48.84144,4000,0,89
2015-07-14 13:37:05,130813690255406557,42.3746001720428,-71.1087512969971,4,CAMBRIDGE STREET,339.591522216797,306.320495605469,0.3890068,0.01247116,-0.357086,-4.544357,54.97264,53.6795,4000,0,89
2015-07-14 13:37:06,130813690265544467,42.3746001720428,-71.1087512969971,4,CAMBRIDGE STREET,326.727447509766,293.456420898438,0.2365142,-0.09701075,-0.3023451,0.3213467,49.07306,66.54358,4000,0,89
2015-07-14 13:37:07,130813690275641618,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,325.106506347656,291.835479736328,0.02146041,-0.08137048,-0.1615826,-2.882831,45.30231,68.16451,3557.4,0,89
2015-07-14 13:37:08,130813690285768547,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,325.691772460938,292.420745849609,0.06447116,-0.02662952,-0.1342121,-5.469834,48.72611,67.61816,2819.215,0,89
2015-07-14 13:37:09,130813690295921170,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,328.531158447266,295.260131835938,0.1309423,-0.06573021,-0.05210068,-4.500889,48.60288,64.73986,2590.385,0,89
2015-07-14 13:37:10,130813690305954890,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,329.135498046875,295.864471435547,0.1270323,-0.04617986,-0.04819062,-1.766738,48.60681,64.13552,3359.195,0,89
2015-07-14 13:37:11,130813690316117230,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,328.945404052734,295.674377441406,0.5845103,0.06330206,-0.09120136,-1.198575,49.09428,64.32561,3533.635,0,89
2015-07-14 13:37:12,130813690326167576,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,328.486114501953,295.215087890625,0.5571398,0.172784,-0.1459423,-2.90492,47.79812,64.78491,3038,0,89
2015-07-14 13:37:13,130813690336222715,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,329.199859619141,295.928833007813,0.5297693,0.1962444,-0.1811329,-5.030147,48.8756,64.11589,3027.71,0,89
2015-07-14 13:37:14,130813690347812475,42.3745840787888,-71.1086761951447,4,CAMBRIDGE STREET,330.912811279297,297.641784667969,1.13192,0.01638123,-1.17038,-6.61262,58.39534,62.76867,3656.625,0,89
2015-07-14 13:37:15,130813690357894815,42.3745411634445,-71.1086601018906,3,ELLERY STREET,331.817443847656,298.546417236328,1.264862,0.02420137,-1.334603,-2.302101,58.20208,61.45357,2915.01,0,89
2015-07-14 13:37:16,130813690368047692,42.3745411634445,-71.1086601018906,3,ELLERY STREET,331.813598632813,298.542572021484,1.233582,0.008561093,-1.420625,-4.346978,54.3467,61.45743,3660.055,0,89
2015-07-14 13:37:17,130813690378079618,42.3745411634445,-71.1086601018906,3,ELLERY STREET,332.109161376953,298.838134765625,1.366524,0.1063128,-1.678689,-2.376878,57.18147,61.16186,3430.98,0,89
2015-07-14 13:37:18,130813690388133844,42.3745411634445,-71.1086601018906,3,ELLERY STREET,332.824920654297,299.553894042969,0.5571398,0.1258631,-1.053078,-2.416931,53.92345,60.44612,2508.31,0,89
2015-07-14 13:37:19,130813690398186944,42.3745411634445,-71.1086601018906,3,ELLERY STREET,333.17919921875,299.908172607422,0.682262,0.3018162,-1.15865,-4.206549,54.77151,60.09184,2552.655,0,89
2015-07-14 13:37:20,130813690408268936,42.3745411634445,-71.1086601018906,3,ELLERY STREET,333.884094238281,300.613067626953,0.7096325,-0.04617986,-1.13128,-5.134663,49.1997,59.88832,2768.01,0,89
2015-07-14 13:37:21,130813690418358022,42.3745411634445,-71.1086601018906,3,ELLERY STREET,333.252105712891,299.981079101563,0.6431613,-0.08919062,-0.7911036,-6.052244,50.56334,60.01892,2768.01,0,89
2015-07-14 13:37:22,130813690428445566,42.3745411634445,-71.1086601018906,3,ELLERY STREET,333.226959228516,299.955932617188,0.854305,-0.06573021,-0.810654,-5.842407,50.91549,60.04405,2812.355,0,89
2015-07-14 13:37:23,130813690438603864,42.3745411634445,-71.1086601018906,3,ELLERY STREET,333.482543945313,300.211517333984,0.9246863,-0.1165611,-0.6229707,-2.599283,50.65838,59.78849,2457.105,0,89
2015-07-14 13:37:24,130813690448684035,42.3745411634445,-71.1086601018906,3,ELLERY STREET,333.090881347656,299.819854736328,0.9481466,0.04766178,-0.752003,-1.11608,49.84325,60.28758,2655.31,0,89
2015-07-14 13:37:25,130813690458713314,42.3745411634445,-71.1086601018906,3,ELLERY STREET,333.202331542969,299.931304931641,0.7721936,-0.003169112,-0.5525895,-0.409101,51.42149,60.06869,2832.935,0,89
2015-07-14 13:37:26,130813690468749855,42.3745411634445,-71.1086601018906,3,ELLERY STREET,332.605926513672,299.334899902344,0.6392512,-0.03053959,-0.4431075,-2.277294,50.50261,60.66509,2945.635,0,89
